Title, Price ,Date
"Samsung Galaxy A04, 6.5"", 64GB + 4GB RAM (Dual SIM), 50MP, 5000mAh,Black"," Ksh15,400.00 ",16/06/2023
"Samsung Galaxy A14, 6.6"", 128GB + 4GB, 50MP, Dual SIM, 5000mAh, Silver + Magnifier, Earpods & Smart Watch"," Ksh22,999.00 ",16/06/2023
"Samsung Galaxy A04e, 6.5"", 32GB + 3GB RAM (Dual SIM), 5000mAh, Copper"," Ksh12,900.00 ",16/06/2023
"Samsung Galaxy A04s, 6.5"", 64 GB + 4 GB RAM (Dual SIM), 50MP,  5000mAh, Black"," Ksh18,400.00 ",16/06/2023
Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black," Ksh12,800.00 ",16/06/2023
"Samsung Galaxy A14, 6.6"", 128GB + 4GB, 50MP, Dual SIM, 5000mAh, Black + Magnifier, Earpods & Smart Watch"," Ksh22,999.00 ",16/06/2023
"Samsung Galaxy A14 4G, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Silver."," Ksh25,000.00 ",16/06/2023
"Samsung Galaxy A04s, 6.5"", 128GB + 4GB RAM (Dual SIM), 50MP,  5000mAh, Black"," Ksh20,999.00 ",16/06/2023
"Samsung Galaxy A14, 6.6"", 128GB + 4GB, 50MP, Dual SIM, 5000mAh, Black + Smart Watch & Power Bank"," Ksh22,399.00 ",16/06/2023
"Samsung Galaxy F13, 6.6"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Nightsky Green"," Ksh20,499.00 ",16/06/2023
"Samsung Galaxy A14 4G, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black"," Ksh25,000.00 ",16/06/2023
"Samsung DUOS SM-B310E 2.0""  Display FM Radio/Samsung Kabambe.+ BLUETOOTH"," Ksh2,499.00 ",16/06/2023
"Samsung Galaxy A04e, 6.5"", 64GB + 3GB (Dual SIM), 13MP, BLUE"," Ksh14,900.00 ",16/06/2023
